ID_Number,Date,AM_PM,Route_Number,Q1_1,Q1_2,Q1_3,Q1_4,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3Specified,Q4_1,Q4_2,Q4_3,Q4_4,Q4Specified,Q5Start,Q5End,Q6,Duration.of.Trip,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_5Specified,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11Specified,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_10Specified,Q13,Q14,Q15,Q16,Q16Specified,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24,Q25,Q25Specified,Q26,Q26Specified,Q27,Q27Specified,Q27English,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q32_1,Q32_2,Q32_3,Q33
86,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekend,NA,Walk,NA,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,45,45-60 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Rarely,Printable schedules online,Paper schedules,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,Yes,No,Unsure,,Extremely likely,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,OCC,Female,27,African American,,In the United States,,No,,,3,3,"Less than $25,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, but don't use regularly","Yes, use regularly",No
87,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,Work,School,NA,NA,,,,80,60-90 Minutes,No,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,Paper schedules,NA,BUS or Google’s online Trip Planner,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,may not use all,Extremely likely,Completely satisfied,4,Completely satisfied,Not at all satisfied,2,Not at all satisfied,3,2,2,Not at all satisfied,3,3,Not at all satisfied,2,2,2,Not at all important,3,3,4,4,CAY,Female,18,African American,,In the United States,,No,,,3,3,"Less than $25,000",Yes,Yes,No,Yes,No,Yes,"Yes, use regularly",No,"Yes, use regularly",No
88,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,Work,NA,NA,NA,,,,60,60-90 Minutes,No,Walk,NA,NA,NA,NA,,5-10 minutes,Always,NA,Paper schedules,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,Extremely likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Not at all satisfied,3,Not at all satisfied,Not at all satisfied,Not at all satisfied,Completely satisfied,NA,Completely satisfied,NA,3,3,3,Extremely important,Extremely important,Extremely important,4,3,ECA,Male,47,African American,,In the United States,,No,,,2,2,"$25,000 to less than $35,000",No,Yes,No,No,No,No,No,No,No,Yes
89,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,60,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Always,Printable schedules online,NA,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,3,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,NA,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,YEJ,Male,50,African American,,In the United States,,Yes,NA,Very well,1,1,"Less than $25,000",No,No,No,No,No,No,No,"Yes, but don't use regularly","Yes, use regularly",No
90,4/18/2013,pm,23,NA,BUS Bus Service,NA,BUS3,"Several times a week, but not every day",NA,Walk,NA,NA,NA,NA,,NA,NA,Medical Appointment,NA,,,,60,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Sometimes,NA,Paper schedules,NA,NA,NA,NA,Some other way,(?),NA,NA,NA,NA,NA,NA,NA,NA,10 ride special tickets,NA,,Yes,No,Not employed,Yes,,4,2,2,3,Not at all satisfied,Not at all satisfied,Not at all satisfied,2,3,3,3,3,3,2,2,2,4,4,4,Extremely important,4,2,NPY,Male,44,Caucasian,,In the United States,,No,,,1,1,"Less than $25,000",No,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, but don't use regularly",Yes
91,4/18/2013,pm,23,Express Route,BUS Bus Service,Trolley,NA,"Several times a week, but not every day",NA,Walk,NA,NA,NA,NA,,NA,NA,Medical Appointment,NA,,,,15,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,15-20 minutes,Sometimes,NA,NA,Ask the driver,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,3,4,3,4,3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FUJ,Female,61,African American,,In the United States,,No,,,2,2,"Less than $25,000",No,Yes,No,No,No,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",Yes
92,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,Get a ride in someone else's car,NA,NA,,NA,NA,NA,Other,NA,,,30,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,NA,Paper schedules,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,Extremely likely,4,Not at all satisfied,4,NA,2,2,4,Not at all satisfied,2,3,Not at all satisfied,Not at all satisfied,Not at all satisfied,3,4,2,3,Not at all important,2,4,Not at all important,IYV,Male,53,African American,,In the United States,,No,,,3,3,"$25,000 to less than $35,000",Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
93,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,Get a ride in someone else's car,NA,NA,,Work,School,Medical Appointment,NA,,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,Printable schedules online,NA,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,10 ride special tickets,NA,,Yes,No,No,Yes,,Extremely likely,2,NA,2,Completely satisfied,NA,Completely satisfied,NA,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,CFS,Male,34,Hispanic/Latino,,NA,,Yes,NA,Very well,2,1,"Less than $25,000",No,No,No,No,No,No,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
94,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,Get a ride in someone else's car,NA,NA,,NA,NA,Medical Appointment,NA,,,,15,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,In the United States,,Yes,NA,Very well,2,3,NA,Yes,Yes,No,No,No,Yes,"Yes, use regularly",No,"Yes, but don't use regularly",Yes
95,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,Walk,NA,Get a ride in someone else's car,NA,NA,,NA,NA,NA,Other,Shopping,,,30,30-45 Minutes,No,Walk,NA,NA,NA,NA,,0-5 minutes,Never,Printable schedules online,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Express cash fare,NA,NA,Transfer,10 ride tickets,NA,NA,,No,No,No,Yes,,Extremely likely,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,2,3,Not at all satisfied,Not at all satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,OCC,Female,19,African American,,Outside the United States,NA,Yes,NA,Very well,1,1,NA,No,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",No
96,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,NA,School,NA,NA,,,,40,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,NA,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,Yes,No,Unsure,,Not at all likely,Completely satisfied,Not at all satisfied,Completely satisfied,Not at all satisfied,4,Completely satisfied,Not at all satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,4,2,Not at all important,JRY,Female,43,African American,,In the United States,,NA,,,7,5,"Less than $25,000",No,Yes,No,No,Yes,Yes,No,No,No,Yes
97,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,School,NA,Other,Manual,,,NA,,Yes,NA,NA,NA,NA,NA,,15-20 minutes,NA,NA,NA,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,NA,NA,NA,NA,NA,NA,Transfer,NA,NA,NA,,NA,Yes,Yes,NA,,3,NA,NA,Completely satisfied,NA,NA,NA,NA,NA,NA,Completely satisfied,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,Male,53,NA,,NA,,Yes,NA,NA,2,2,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA
98,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,Work,NA,NA,NA,,,,10,Less than 15 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,NA,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,NA,NA,NA,Express cash fare,NA,NA,NA,NA,NA,NA,,Yes,Yes,Yes,No,NA,2,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,3,4,3,3,4,4,2,3,4,3,3,4,NA,Male,22,African American,,In the United States,,Yes,NA,NA,2,2,"Less than $25,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but don't use regularly","Yes, use regularly","Yes, use regularly",Yes
99,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,Work,NA,NA,NA,,,,30,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,NA,NA,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,Not employed,No,NA,Extremely likely,3,3,Completely satisfied,Not at all satisfied,Not at all satisfied,3,NA,NA,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,JRY,Male,18,African American,,In the United States,,No,,,1,2,"Less than $25,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, but don't use regularly","Yes, use regularly",No
100,4/18/2013,pm,23,Express Route,BUS Bus Service,Trolley,BUS3,Every weekday,Drive myself in my car,Walk,NA,Get a ride in someone else's car,NA,NA,,NA,NA,NA,NA,,,,NA,,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Never,Printable schedules online,NA,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,Extremely likely,3,3,3,3,Not at all satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,Completely satisfied,Not at all satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,OCC,Female,50,African American,,In the United States,,Yes,NA,NA,1,1,"$25,000 to less than $35,000",No,No,No,Yes,No,No,No,No,No,No
101,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,Work,NA,NA,NA,,,,45,45-60 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Never,Printable schedules online,NA,NA,BUS or Google’s online Trip Planner,NA,NA,Some other way,NA,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,3,Not at all satisfied,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FUJ,Female,18,African American,,Outside the United States,NA,No,,,8,3,"Less than $25,000",No,No,No,No,No,No,No,"Yes, but don't use regularly","Yes, use regularly",No
102,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,Walk,NA,NA,NA,NA,,NA,NA,Medical Appointment,NA,,,,45,45-60 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,NA,NA,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,No,NA,Not at all likely,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,GBO,Male,25,African American,,In the United States,,Yes,NA,NA,3,3,"$25,000 to less than $35,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, but don't use regularly","Yes, but don't use regularly","Yes, but don't use regularly",No
103,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,Drive myself in my car,NA,NA,NA,NA,NA,,NA,NA,NA,Other,Going to get children,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,Paper schedules,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Yes,No,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,NA,NA,Other,NA,,,30,30-45 Minutes,No,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,Paper schedules,Ask the driver,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,Yes,No,Yes,,3,Not at all satisfied,Completely satisfied,Completely satisfied,2,Not at all satisfied,Not at all satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Not at all satisfied,3,Extremely important,Extremely important,Not at all important,Extremely important,Extremely important,Extremely important,IYV,Female,26,African American,,In the United States,,Yes,Spanish,NA,4,4,"Less than $25,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",Yes
105,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",Drive myself in my car,NA,NA,NA,NA,NA,,NA,NA,NA,Other,Conserving gas,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,NA,NA,NA,NA,Ask another rider,Some other way,Automated System,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,Extremely likely,Not at all satisfied,2,2,3,Not at all satisfied,3,3,3,3,3,2,2,4,2,3,Extremely important,Extremely important,Extremely important,Extremely important,3,Extremely important,JRY,Female,30,African American,,In the United States,,No,,,4,3,"$25,000 to less than $35,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, but don't use regularly","Yes, use regularly",No
106,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,A few times a year,Drive myself in my car,NA,NA,NA,NA,NA,,NA,NA,NA,Other,car not working,,,45,45-60 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,NA,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,Extremely likely,4,4,4,4,4,4,4,Completely satisfied,4,4,4,4,4,4,Completely satisfied,4,4,4,4,4,4,LKO,Female,43,African American,,In the United States,,Yes,NA,NA,4,4,"$25,000 to less than $35,000",No,No,No,Yes,Yes,Yes,No,No,"Yes, but don't use regularly",Yes
107,4/19/2013,pm,4,NA,BUS Bus Service,Trolley,NA,Every weekday,NA,NA,NA,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,65,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Always,NA,Paper schedules,Ask the driver,BUS or Google’s online Trip Planner,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,Monthly pass,NA,Transfer,NA,NA,NA,,No,No,No,Unsure,,3,2,2,3,3,Not at all satisfied,4,2,3,3,3,3,3,3,Not at all satisfied,3,4,4,2,Extremely important,4,4,OCC,Female,39,Caucasian,,In the United States,,No,,,4,4,"$25,000 to less than $35,000",No,No,No,No,Yes,Yes,No,"Yes, but don't use regularly","Yes, but don't use regularly",Yes
108,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Other,Help friend,,,25,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Always,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,10 ride tickets,NA,NA,,No,No,No,Yes,,Extremely likely,4,3,3,3,3,3,3,4,4,3,4,4,4,3,4,2,4,4,4,4,Not at all important,LKO,Female,49,Caucasian,,In the United States,,No,,,1,1,"$25,000 to less than $35,000",Yes,No,No,No,Yes,Yes,"Yes, but don't use regularly",No,No,Yes
109,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,"Several times a week, but not every day",NA,Walk,NA,NA,Bicycle,NA,,Work,NA,NA,NA,,,,25,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,10-15 minutes,Sometimes,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,10 ride tickets,NA,NA,,No,No,No,Unsure,,Extremely likely,3,4,4,4,2,2,3,Not at all satisfied,2,2,4,4,3,3,3,Extremely important,Extremely important,Not at all important,Extremely important,3,Not at all important,ECA,Female,62,Caucasian,,In the United States,,No,,,1,1,"Less than $25,000",Yes,Yes,Yes,No,No,No,No,No,No,Yes
110,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,Every weekend,NA,NA,NA,NA,NA,NA,,NA,NA,Medical Appointment,NA,,,,30,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Never,NA,NA,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,Get a ride in someone else's car,NA,NA,,NA,NA,Medical Appointment,NA,,,,30,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,NA,NA,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,Not employed,Unsure,,Extremely likely,4,4,4,4,3,3,3,Completely satisfied,3,3,3,2,Not at all satisfied,Not at all satisfied,4,4,3,Extremely important,4,3,Extremely important,FUJ,Male,16,African American,,In the United States,,No,,,7,4,"$25,000 to less than $35,000",No,No,No,Yes,Yes,Yes,"Yes, but don't use regularly","Yes, but don't use regularly","Yes, use regularly",Yes
112,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,"Several times a month, but not every week",NA,Walk,NA,NA,NA,NA,,NA,NA,Medical Appointment,Other,Store,,,35,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,NA,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,10 ride tickets,NA,NA,,Yes,No,Not employed,No,10 ride tickets for disabled,3,4,3,4,3,3,4,Completely satisfied,4,3,3,3,3,3,3,4,Not at all important,3,Not at all important,3,3,Not at all important,ECA,Male,60,Caucasian,,Outside the United States,Japan,No,,,2,2,"Less than $25,000",Yes,Yes,No,No,No,No,"Yes, but don't use regularly",No,No,No
113,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Other,Downtown concert,,,50,45-60 Minutes,Yes,NA,NA,NA,NA,Other,stop in front of apt.,0-5 minutes,Sometimes,NA,NA,NA,NA,NA,NA,Some other way,library,NA,NA,NA,NA,Monthly pass,NA,NA,NA,NA,NA,,Yes,No,Yes,No,I got a free bus pass ea. Month,Not at all likely,2,Not at all satisfied,4,4,2,3,3,2,4,2,2,4,2,Completely satisfied,3,4,4,4,Extremely important,4,4,LKO,Male,58,Caucasian,,In the United States,,NA,,,1,2,"Less than $25,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, but don't use regularly","Yes, but don't use regularly",Yes
114,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,Every day,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Other,girlfriend,,,37.5,30-45 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,Printable schedules online,Paper schedules,Ask the driver,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,Transfer,NA,NA,NA,,Yes,No,Not employed,Yes,,Extremely likely,3,4,3,2,2,4,Completely satisfied,3,3,3,2,3,4,3,4,Extremely important,4,4,3,4,2,ECA,Female,17,African American,,In the United States,,No,,,3,3,"Less than $25,000",No,No,No,No,Yes,Yes,"Yes, use regularly",No,"Yes, but don't use regularly",Yes
115,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,NA,NA,NA,Other,store,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Sometimes,NA,Paper schedules,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,Extremely likely,Completely satisfied,Completely satisfied,4,Completely satisfied,4,4,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,NA,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,ECA,Male,43,African American,,In the United States,,No,,,2,2,"Less than $25,000",No,No,No,No,No,No,"Yes, use regularly","Yes, use regularly","Yes, use regularly",Yes
116,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,Every day,NA,Walk,Taxi,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,15,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,NA,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,Extremely likely,Completely satisfied,2,Completely satisfied,Completely satisfied,4,Completely satisfied,Completely satisfied,Completely satisfied,4,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,4,4,Extremely important,Extremely important,Extremely important,2,2,ECA,Male,22,Caucasian,,In the United States,,No,,,1,1,"$35,000 to less than $50,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",Yes
117,4/19/2013,pm,4,NA,BUS Bus Service,Trolley,NA,Every day,NA,NA,NA,NA,NA,NA,,Work,NA,NA,NA,,,,60,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Always,Printable schedules online,NA,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,Extremely likely,Not at all satisfied,Not at all satisfied,4,3,2,2,Not at all satisfied,4,4,3,3,2,3,3,3,Extremely important,3,3,4,3,Extremely important,OCC,Female,31,African American,,In the United States,,Yes,NA,Very well,3,3,"$35,000 to less than $50,000",Yes,Yes,Yes,Yes,Yes,Yes,"Yes, use regularly","Yes, but don't use regularly","Yes, use regularly",Yes
118,4/19/2013,pm,4,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,Work,NA,NA,NA,,,,10,Less than 15 Minutes,Yes,Walk,NA,NA,NA,NA,,10-15 minutes,Sometimes,NA,NA,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,NA,NA,NA,NA,Monthly pass,NA,NA,NA,NA,NA,,Yes,NA,NA,NA,,NA,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,YEJ,NA,61,African American,,In the United States,,Yes,NA,NA,1,NA,NA,No,No,No,NA,NA,NA,No,No,No,NA
119,4/19/2013,pm,4,NA,BUS Bus Service,Trolley,NA,Every weekday,NA,NA,Taxi,NA,NA,NA,,Work,NA,Medical Appointment,NA,,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Never,Printable schedules online,NA,Ask the driver,BUS or Google’s online Trip Planner,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,10 ride tickets,NA,NA,,No,No,No,Yes,,Extremely likely,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Not at all satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,OCC,Male,53,African American,,In the United States,,Yes,NA,NA,NA,NA,"$25,000 to less than $35,000",No,Yes,No,Yes,No,Yes,"Yes, but don't use regularly","Yes, but don't use regularly","Yes, but don't use regularly",Yes
